adduser	3.152	all
alsa-ucm-conf	1.2.14-1	all
alsa-utils	1.2.14-1	arm64
apt	3.0.3	arm64
base-files	13.8+deb13u6	arm64
base-passwd	3.6.7	arm64
bash	5.2.37-2+b9	arm64
bsdutils	1:2.41.5-0+deb13u1	arm64
busybox	1:1.37.0-6+b8	arm64
ca-certificates	20250419	all
chrony	4.6.1-3+deb13u2	arm64
coreutils	9.7-3	arm64
cpio	2.15+dfsg-2	arm64
curl	8.14.1-2+deb13u4	arm64
dash	0.5.12-12	arm64
dbus	1.16.2-2	arm64
dbus-bin	1.16.2-2	arm64
dbus-daemon	1.16.2-2	arm64
dbus-session-bus-common	1.16.2-2	all
dbus-system-bus-common	1.16.2-2	all
debconf	1.5.91	all
debian-archive-keyring	2025.1	all
debianutils	5.23.2	arm64
diffutils	1:3.10-4	arm64
dmsetup	2:1.02.205-2	arm64
dnsmasq	2.91-1+deb13u1	all
dnsmasq-base	2.91-1+deb13u1	arm64
dosfstools	4.2-1.2	arm64
dpkg	1.22.22	arm64
dracut-install	106-6	arm64
e2fsprogs	1.47.2-3+b11	arm64
ethtool	1:6.14.2-1	arm64
findutils	4.10.0-3	arm64
gcc-14-base	14.2.0-19	arm64
gettext-base	0.23.1-2	arm64
grep	3.11-4+b1	arm64
grub-common	2.12-9+deb13u2	arm64
grub-efi-arm64-bin	2.12-9+deb13u2	arm64
grub-efi-arm64-unsigned	2.12-9+deb13u2	arm64
gzip	1.13-1	arm64
hostname	3.25	arm64
init-system-helpers	1.69~deb13u1	all
initramfs-tools	0.148.4	all
initramfs-tools-bin	0.148.4	arm64
initramfs-tools-core	0.148.4	all
iproute2	6.15.0-1	arm64
iputils-ping	3:20240905-3	arm64
iw	6.9-1+b1	arm64
klibc-utils	2.0.14-1	arm64
kmod	34.2-2	arm64
less	668-1	arm64
libacl1	2.3.2-2+b1	arm64
libapparmor1	4.1.0-1	arm64
libapt-pkg7.0	3.0.3	arm64
libasound2-data	1.2.14-1	all
libasound2t64	1.2.14-1	arm64
libatomic1	14.2.0-19	arm64
libatopology2t64	1.2.14-1	arm64
libattr1	1:2.5.2-3	arm64
libaudit-common	1:4.0.2-2	all
libaudit1	1:4.0.2-2+b2	arm64
libblkid1	2.41.5-0+deb13u1	arm64
libbluetooth3	5.82-1.1	arm64
libbpf1	1:1.5.0-3	arm64
libbrotli1	1.1.0-2+b7	arm64
libbsd0	0.12.2-2	arm64
libbz2-1.0	1.0.8-6	arm64
libc-bin	2.41-12+deb13u3	arm64
libc-l10n	2.41-12+deb13u3	all
